"POS_T","datetime","tagtime","Latitude","Longitude","Satellites","Residual_Error"
739091.737473372,2023-07-24 17:41:57,2023-07-24 17:41:58,41.1262761000396,-70.8042684343803,8,10.2068121015724
739091.750665587,2023-07-24 18:00:57,2023-07-24 18:00:58,41.1312508011622,-70.8249688682454,4,0.100201354426423
739091.775667481,2023-07-24 18:36:57,2023-07-24 18:36:58,41.1241819577315,-70.8353264404279,7,9.9539294021261
739091.787472911,2023-07-24 18:53:57,2023-07-24 18:53:58,41.1115486019875,-70.8266129956512,8,12.9080295858966
739091.791639282,2023-07-24 18:59:57,2023-07-24 18:59:58,41.1075104372927,-70.8226084210355,6,6.80334610864858
739091.813166544,2023-07-24 19:30:57,2023-07-24 19:30:58,41.0943702803023,-70.794909210737,6,8.87175726502788
739091.818027,2023-07-24 19:37:57,2023-07-24 19:37:58,41.0955558915275,-70.7884517885648,4,0.21592778355618
739091.865945116,2023-07-24 20:46:57,2023-07-24 20:46:58,41.0824561611608,-70.7353177351508,7,4.7085435196027
739091.884000776,2023-07-24 21:12:57,2023-07-24 21:12:58,41.0760523721954,-70.7190566015752,8,6.36351993033532
739091.905528501,2023-07-24 21:43:57,2023-07-24 21:43:58,41.0696276840883,-70.7161950714627,8,11.9925386011365
739091.911083929,2023-07-24 21:51:57,2023-07-24 21:51:58,41.0710655482096,-70.7124882869148,4,0.0568716346671574
